"","HC1","HC10","HC11","HC2","HC4","HC5","HC6","HC7","HC8","HC9","HC12","HC13","HC15","HC16","HC17","HC18","HC19","HC20","HC21","HC14","MET1","MET10","MET11","MET12","MET13","MET14","MET15","MET16","MET17","MET18","MET19","MET2","MET20","MET21","MET3","MET4","MET5","MET6","MET7","MET8","MET9","HB07","HB14","HC3","HB55","HB57","HB64","HB65","HB36","HB37","HB43","HB53","HB08","HB11","HB18","HB21","HB24","HB30","HB66","HB32","HB45","HB74","HB80","HB54","HB49","HB02","HB15","HB56","HB58","HB60","HB62","HB38","HB40","HB68","HB46","HB50","HB70","HB72","HB76","HB78","HB05","HB52","HB01","HB04","HB10","HB13","HB17","HB20","HB23","HB26","HB29","HB34","HB48","HB03","HB22","HB33","HB69","HB47","HB73","HB81","HB18.1","HB18.2","HB18.3","HB18.4","HB18.5","HC7.1","HC7.2","HC7.3","HB09","HB12","HB19","HB25","HB28","HB31","HB67","HB44","HB75","HB06","HB16","HB59","HB61","HB63","HB39","HB41","HB51","HB71","HB77","HB79","HB35","HC22","HB42","HB27"
"Q658P3",13.69839797707,9.46105742867907,11.9379854899781,12.3780514376897,11.8527892572816,12.4928102646225,12.0487281809536,14.1994591336718,14.1260966747414,13.0695500832129,3.02853271626245,12.2803788429983,13.1927665789827,12.2137862900939,11.457360606459,11.3683815458582,10.6175886700406,11.1941949515798,11.5329557796065,12.7975076252216,10.7728127396797,13.3119606985258,12.2057807806835,13.4892420855925,9.94285728945986,10.7641990019192,12.6957323772804,11.1373979914629,11.6466259542498,11.6602337201755,10.9363852752652,12.7732612055935,9.92997382482746,12.1668813969035,11.5528996124183,13.6125490245252,13.2512251883431,9.56562198095147,12.5056941969104,10.6629732930471,12.0936264899014,11.8526962694092,12.8260373320147,13.0172297882572,12.4167812573178,13.7805989199318,12.4541705950349,12.3241552594882,13.7642063358984,13.0159760274822,13.6475584197219,12.6695494634555,11.1767390571717,14.4139901804305,13.0394752167518,4.9536272678568,11.2572310811491,12.2013999968882,9.95201196934081,9.70089031767265,7.65536394833903,11.1082401743765,13.1903375461565,12.8988817947758,12.9070688603459,14.0094367150355,11.6537668237019,12.0711916531782,11.2210979323167,14.0443365511316,11.4670204697374,13.443025388618,12.8958631531106,13.0823499826604,11.2785720683013,13.0106227382613,12.7229563744718,12.1030648207126,11.3477031421111,12.7225998799715,12.5616454973181,12.3841762181896,13.8684641691619,12.2269923595895,14.1256725501243,13.5218875967684,13.1085730795382,13.7728300246545,14.2222358152327,11.2074043140422,13.3794312913858,10.8907124456502,11.0304511377304,13.3171581659019,8.74464653445049,12.0499179468496,12.1417871588994,12.6622987143958,12.0192623035506,13.6293308188673,13.0785847403682,13.3245860086339,13.6185680541516,13.5262934404805,12.9043481611397,11.733076070087,13.8175556770068,14.0128292882839,11.1546948946246,14.4330915806235,13.9368634558847,12.3264639113253,12.6082572828686,11.7033811817642,12.8582926892866,4.80204812970638,12.1727226831795,12.8511915514659,13.0323804268445,10.8942056556883,10.9230350902435,13.1440885032926,13.040298059925,11.5749857002484,12.2178975867408,12.5420553893613,12.7734307285694,9.12283883890955,5.39161156027575,10.9046348218826,5.44081519928407,5.10581933612207
"Q8IW35",13.3365818122049,10.1841693993038,13.0611317749191,13.0845337804255,11.0431619866828,13.2054175048459,12.1628428053675,14.0645946559602,14.4297406207019,11.6105723928608,9.40276501815626,13.0941732784593,13.100568972056,13.2914513827383,8.02045087592355,10.5833522807052,7.8741663879983,6.57805118328376,6.16850318921378,13.4512372280534,13.3091888863305,13.454495140773,13.082090731649,12.9147784653686,11.8066637327599,9.94723765459797,12.490947878848,11.4802116884941,12.3986599659836,12.6321536508501,11.0196569165038,13.3996272900639,12.0907255176488,12.6330527924194,13.5635476844555,13.9673628320421,14.3896452620346,13.0933314200646,13.4974418235363,7.69636428369237,13.2662180373157,14.6478224673103,13.6231706252585,13.7724105427578,13.358305964092,13.7643034481113,10.8150080830283,14.0543593092073,12.9746506863964,11.679424680115,13.411569353372,12.5493319265795,13.8834146809956,13.6450286230659,13.5026181768751,10.5360329558655,10.1657449400747,13.6251799993063,11.2865338165898,10.6858836555692,8.73460198970119,12.9076510642242,13.4075685487109,14.534283382127,12.6971516295381,14.5391227517985,11.6046480093119,14.820052345713,12.8666515150637,13.3816905574873,14.6129358821406,14.1284797105183,14.0010357662477,15.5603173457782,12.711642491703,13.9914733051963,13.8031022112421,9.88684587715433,13.1688505817219,13.3354731466261,13.7016433735603,13.1315821253262,13.959474951881,13.6492199573713,14.425439342535,13.4363161264447,14.6835038072622,14.3432489921214,13.2956069447257,12.1787752138804,13.7660144095215,12.978006129524,12.2716766659477,14.8203959135551,14.0138663940904,13.0497146425195,13.7397608805811,9.58161736754941,13.2417356348731,14.5668672145498,14.008651141526,13.6221966023499,13.9588513253969,13.7857328766233,13.7183546068886,13.4254879466832,12.9435913463198,9.44192711906993,10.8163229409119,14.1364758925578,13.7372390175912,13.147203778693,12.7835637592859,12.4860245693851,13.6710111230701,11.4800300320189,12.0837997242184,14.3474944266016,14.5208943501584,13.1103418496515,11.5136714357562,11.3393344330141,13.6802648284866,13.8297023116432,13.8105273007187,13.4850076795817,13.5187920338315,12.3514846121599,6.04957432188717,8.9937548572943,5.62002052402963,7.76961291753173
"Q96CM8",13.0275779317477,10.6225864635277,13.0224540401304,13.2936212027751,12.6390930734853,11.2695198416902,13.4831682253881,13.9045743761866,14.2471882611961,12.2427343677871,9.86709242907139,13.5607744510615,11.9398043145466,13.9336411134315,10.0169396033354,12.5734876559051,9.14664116256189,10.5263513953679,9.21262652767035,14.115164347657,12.1055118687964,13.6270071382256,13.5251534361664,12.9096609767476,11.5229909827282,10.9254960311822,11.6201898241593,12.803860575193,13.0943972940103,12.6715742266025,7.47879941519162,13.2770481308215,9.96866781709949,11.6986361734961,12.3247246563853,13.0287881967525,14.0884669766864,12.9463653069258,12.9287505855258,11.0140992151698,14.1291157878865,13.5128616157257,13.0181776661448,13.8164955200946,13.3695248430377,13.1703482717924,14.4699456613003,13.6737815350368,14.2911396300807,12.9044590013704,12.289383958664,14.8341389114387,13.1888595365551,13.6519166382875,13.9352738931902,8.5236444204518,12.3161947212754,14.0812317734034,11.347993181715,10.8346317478974,12.8023756223298,12.7374846442988,13.1447059615606,15.2327818313407,12.2147824898379,12.8068728906551,13.1052723026052,13.3111590088655,11.9084068814553,12.978514473229,12.4766919441085,13.9261024026314,13.9521453864605,13.7969055926678,12.1786814782043,14.9026396735729,15.0607071489105,13.7043382999055,13.571698176792,12.4034947641574,14.6672891895102,13.3974101991758,13.8994379951027,14.1790224910261,14.4707273021928,13.7489825161067,15.113525457329,13.5869063029872,14.3221798098486,12.0404589664597,13.9877131640627,12.3923290800451,12.8455389418579,14.6857888140369,13.8056441154612,12.1600104453869,13.5792197500804,14.3465658540871,11.4557136758834,14.1173017856809,12.8379183431146,14.1988873486869,13.419355136691,14.0730963063106,12.3299177739239,13.8224210349229,13.7780796816304,14.6805006990251,11.5686399133305,15.2588534620625,14.1183457902686,13.694308273497,12.7066277568781,12.7467518982176,13.6400861618009,12.76420837681,11.8302304204487,14.4376955440352,14.0216215416777,13.466757088501,11.37174108251,13.620458416038,13.1604185797191,13.5351908979631,13.7177534183353,13.1471520892815,13.5625674026646,11.4329037929753,10.648608865844,10.529744093278,5.38381484606604,8.3025943242875
"Q96JC1",8.0302783708957,7.60179830974025,12.1531502823053,10.6939010254856,9.65109672172979,11.3645878123243,11.542272033614,13.7348009066365,13.6188717023052,8.93477889376978,5.3462134707443,13.8411541962986,9.48654746703826,11.3021862092873,8.7217331425995,6.46194641710795,7.62486615136184,7.38775255507897,10.1880918850341,12.811531299935,12.7167168876421,11.736344660126,12.4061733037345,11.0428200634824,6.2975896622642,4.93089767693023,9.5744402044261,9.10108916251207,11.8240261371019,11.6442798900207,6.80315330468834,7.44754784557313,7.88845604687528,11.1493536043454,13.5763397255567,12.5860703805977,12.8149996884852,11.9690176498208,12.8101485939371,6.39215997362863,13.2870657712355,14.0156128488694,12.6570717555454,12.7324192980819,13.3921200857407,14.0733713077045,11.6581766177625,13.3309627898233,14.0779648368331,13.8107605346284,12.7858611057596,12.9049724288528,13.1436879546658,13.9105614561422,13.8046438704587,7.29712658019719,11.5868910564264,13.1752886540566,7.21281144487186,7.92445573843864,9.87154277674952,12.4894806822799,13.7079588688286,14.1580678267632,13.4183949066245,14.537122423175,9.25998646449055,12.758535456339,11.9219202644005,14.5118048661231,13.5092424496419,13.9342367016276,12.9024677277736,14.2980152168735,8.64097039296179,13.6588660777713,13.0292607480999,11.997764835991,13.0832177758616,12.9908951397233,14.5544468113371,11.9933865493225,12.9666212538688,11.9768606407173,13.6335230213956,9.70734111958856,13.6994345469228,13.5484412246399,13.917140615286,7.82667461344838,12.8651418581301,7.39075992356757,10.9197832326217,13.9983706349375,12.6084456633278,11.5492966626026,13.4076460537414,13.4852241004133,12.6106137275559,12.1242831424416,14.1578866569913,13.4585521563563,14.2205216579509,13.5096576717875,13.4262647547021,13.1448990347393,13.2822266529398,13.524901372895,11.3760644371835,13.3648186236554,14.928719852814,13.6556525312028,12.7550310156017,13.4841585504881,14.3142616189481,11.1269730748046,12.6271139651301,13.8150498306129,13.6225659558649,13.8078070350458,10.4408691676109,13.8542402566695,13.9545153763033,13.2817293190903,13.7437611507366,13.3878487921108,13.8475755334406,11.4621523136857,7.63831821137916,6.31813858228637,4.89141803819488,6.22076902129867
"Q9C0D6",11.9780807269888,8.68956850211586,12.4094027276711,8.96612911482647,10.9992979909002,11.9528768402092,11.0820057998312,11.8525221691605,13.2811770175092,9.50771146843146,8.20423110011851,12.6029307909152,9.05068245225862,12.4992599216886,8.97014953120781,8.94006609584315,9.00367829144461,8.52639231880759,9.02366016462108,10.6844990381355,13.0545338157521,9.12674701179818,11.2822901414967,8.09584371719412,9.12415072398777,9.2054468950707,8.69099622254105,8.60950293625057,9.54914493915594,8.9904913982023,8.90445897274048,13.0034377212612,8.50921404582419,8.85309491901531,9.37412282213062,12.7448609222355,12.2757722130684,9.06989527276744,13.2015680480441,9.32296343110481,11.3966542349291,12.5055002992621,10.0320153276455,11.6072914602767,12.8435271588176,13.2703470843085,12.0917659385168,13.8026992381324,13.1193600481139,9.2672820710691,12.7460943837055,15.0304947197495,13.252813241993,15.0342831309619,12.8564782196205,8.94997110903383,9.70396223423735,12.742881463831,9.29566708809862,9.19713205596917,11.4219022544157,9.27352679031239,9.52503651047251,14.9082518723265,11.9199986236628,14.1237691196233,8.671064519585,10.8505281190284,8.13965047250376,11.2515902215209,14.8999076133393,12.5290471490558,13.4420508683909,12.7113274829702,9.65079306808429,11.0417813222218,12.6331325871904,13.5284553993149,12.1317676817662,13.8907036073696,14.1055447140473,10.537516770769,13.8779819971592,13.8481338746798,13.9252974094565,12.3616696794928,14.3324584831247,13.3061122111903,13.2667865406949,9.34621855440609,12.8809227105865,9.67942421556347,13.2482240896685,14.6565365918386,13.6633357234784,12.0973737689902,12.7023564833568,10.5312333646284,11.1720454306978,12.9625345635113,14.3518530594193,12.5998034261325,14.4329286179898,14.0559602344523,12.5484438961612,12.6244119034266,11.8710510207078,11.1648535875918,9.22286085089111,14.4516618836032,13.1423185196177,12.3355490096455,8.72368947870887,8.54833372232741,12.9766162455325,12.2200759709843,11.3094763538411,13.8411400457954,13.6290677235174,12.8000673877977,10.7125270004398,12.6402769785966,10.8914470491373,12.2289374089695,10.5150676108342,9.10036622082399,13.3635178222378,7.47892436780134,9.11503842551721,9.00934648035736,9.29361065814232,9.30876669816451
"Q9H227",8.87429376409842,9.84211108775357,14.2896184361306,13.3838654631027,9.8575763880701,10.8289435663375,11.7941068415396,13.4795202511872,13.6894553530332,8.86924369104874,10.5057053079305,11.3731824019379,11.1042887316048,13.036216845638,10.6194144527592,10.2349489658085,10.6299413636274,10.4607630354109,8.18955455885228,11.0823479244876,14.0460875112164,12.4582210961008,12.3324840170649,12.8164906772691,10.5135114015445,10.4896330142775,9.37575463077339,9.74118609008299,8.48404493121401,8.15705502515943,10.1115795282984,12.2484116832015,9.85378088054617,8.05291221724417,12.6814085508795,11.6548011231404,12.1926306446915,10.3124411929248,12.5509837823752,10.7321658903063,13.0962333179184,13.5957111918855,12.6285128560419,12.5802301661199,14.9651433804833,15.3079739488832,14.682392720019,14.8629739500834,14.1103763673929,13.9364867529405,14.9712320738962,14.6307836211678,13.6749144246439,15.8577887263233,14.0626909021296,11.0312744622628,10.6690641854349,8.69535305480806,10.3892044830509,10.2232632212991,11.5242751915484,11.5085009929516,14.3660077075636,14.2424284934574,12.6115337610229,14.4112054599323,11.6175513082296,16.0147199275611,13.5858226138423,14.2593693059184,8.83795821692077,14.2071938825578,14.4504557167751,14.7493145613246,10.537785378138,15.0906306744602,12.1710625407366,13.8401807847873,15.1853060920839,13.8393686536123,14.9612253245917,13.2344317680259,13.6021677903498,11.1386981789644,13.4113205009295,12.7381514163814,12.6281806948771,9.09967336420035,15.1330042554272,9.62754372546958,12.6562545691403,7.79832393081233,8.61942234610285,12.6560378886075,14.0468856815428,8.39357536583969,15.5481008467487,14.6652710995135,14.5761328831534,12.9441589712981,14.5823463173502,14.2558454931581,15.41917370921,14.216908612384,14.4957173426337,13.6528071899416,13.6659790317465,14.3366916599472,8.48307133850558,14.0406871426796,14.5582082060901,14.7706999750007,12.0068772695001,12.9154085214144,14.9440994024944,11.0810806093215,13.3523403473743,13.010076054263,15.1132916456963,15.7475973484871,9.68451203527906,13.7684703730875,13.5896491283998,13.3801501008154,13.7699097368921,14.3395089351654,15.1743522582147,13.4249927540581,10.5518280716236,11.9211017343324,10.7238005825086,10.5947019780034
"Q9H254",10.7358859433084,10.1107038600096,13.2037316834225,12.9771229131579,12.4282296418875,11.9705172004585,12.4102408707416,14.1907362384576,14.6672860503019,12.0590892557608,9.25534371601593,14.0432846851357,12.3912676180954,12.485566994447,9.37442986876172,10.6424787224147,8.94255397229726,9.89644216884457,10.9396011783139,12.5819829575851,13.6542301533823,13.6414635755414,13.5429945222687,12.5736090002277,6.8197849185669,8.32848098962652,10.8239889618968,10.4595744234035,11.7184162241559,11.6837937112851,10.5751512729083,11.5090808772971,10.2397962928524,12.4774961653247,13.5261601067469,14.1440185175203,14.1352763934586,10.7739499064267,12.8781341898762,7.55837233857517,13.8112817390366,14.5622960685486,12.943034797684,13.2680871208526,14.2494704371744,15.109735210843,13.2480989226654,14.2649786502226,13.8652883604618,13.5859242618823,14.5816424248367,14.7210037520571,14.1433132434918,14.2789493655674,13.9492796118736,11.2130980910893,12.0006970909429,13.0986596201267,9.62098327257767,11.6193701814563,10.4272425335553,13.1225203658764,13.7996638563232,14.5089489182826,13.1804432904582,14.9114526318288,11.8574427413875,13.564899767419,12.3585149438295,14.150196206475,13.6598011069189,14.2384465746331,12.0802082892937,13.4705757263085,11.9318665541519,14.4639561935342,14.3542492122983,14.0015578824283,12.9587489665344,14.2558138344484,14.2209483163059,12.8756739999967,13.6816791297251,13.1327768327742,14.6470989499242,13.1971076757575,14.7592785084404,13.4897846836604,13.8101875821081,11.4525147962318,13.4152264971372,11.0600953720765,11.9071143333345,14.3607326279583,13.6861539917974,12.6858860630625,13.9652269174639,13.7035446200116,13.4805089307595,14.2475629470402,14.001215908662,14.1701350784714,15.0113002658495,14.40378993947,13.7907207896161,13.4162434170995,13.8853405771763,13.1500693151554,11.9069260107611,15.2060965162561,14.920763861208,13.9068263784002,12.9402849964686,13.8554722782008,14.3326611763813,11.0033253542062,13.0846738212456,14.561797099701,14.6254912098991,14.4261644126191,11.3470234738493,13.6420138327633,13.4619447987237,14.3743578720496,14.0460971369382,14.307650679679,14.7510749949673,11.8776385438372,9.75169127763249,8.82535340627622,7.8364668885769,9.43726181268535
"Q9H4A3",10.952778698127,8.76250584142994,13.0033882859497,11.8024976335944,11.5622831951155,12.0875398796882,12.9070153418932,14.2809132092431,14.1173039980662,12.0783744800241,4.84486555983051,13.2997216457175,9.51391304352842,12.8731142252163,8.11596582217811,9.44182995652568,9.77469045466958,8.53005348917641,7.63282219033127,11.3745597484071,13.646223401052,13.3562482337774,13.235328714839,11.3107868769128,7.85460728398515,7.16779159261175,11.5946675043719,10.215854116652,11.4846005393599,9.72282566333753,10.98026679316,12.9076413674154,11.5877496815794,12.2120144095641,13.5820743109125,14.1818347440836,13.4012714452883,11.3419853086917,12.865820151996,8.112489102532,13.8143002133182,14.6786193521636,12.228656574766,13.951608048383,12.3776744450857,13.634247808675,12.9876501179427,13.9971939705907,13.6323630249055,13.2185030235824,12.799324655173,14.0401519066028,13.8569850364568,13.8810706590813,13.7429012428868,9.1216026619482,9.81834463551656,12.4158794647161,7.97051934586504,10.238871325494,9.25770350177599,12.0582334117128,13.2342103588931,14.1642672124123,12.4249178777347,13.8600624361803,11.8307936137303,13.4557758530334,12.1485417445342,13.8274130026812,13.3745937533713,14.076102628212,12.8819355803346,13.9630359379241,11.8602063278383,13.3664693509872,13.075983692003,12.5161556070839,12.7204747006707,12.5856407338117,14.4028862490893,13.3567951704075,13.5019893901914,13.1278165237247,14.2263492218114,13.5403917453968,14.4330450243748,13.8288484352796,14.1942946734833,11.0817143016044,13.1947924333427,10.8951365252436,11.6366782364182,13.911230502315,13.6006011617229,12.4786331824969,12.98657080613,13.8489860539826,11.919774882212,13.9375164891968,14.2975240483575,13.7469856660544,14.6755897022094,14.126678206095,13.885918131113,14.0017006019962,13.7040069666414,13.527292224032,11.0369011661803,14.796017078409,14.106859375242,13.7738883811887,12.7144324084249,12.8642954215674,13.4012382688364,9.41707702442773,12.5374493986065,13.7929311036405,13.6685226676848,13.4117069585051,10.0707536263646,13.3389506513217,12.992887150266,12.9206864401636,14.13867422384,13.1355169379442,12.761043456517,11.6380677319953,6.90655589326806,8.57667736380547,5.44241503859815,4.79990723914104
"Q9HBI0",12.9634066707901,11.1825710640464,11.9429893551014,12.3528240215937,11.4628032798348,12.6545766149087,9.99233505317365,13.2647978955077,12.0494032992876,12.2414066194924,8.68094368905001,12.5660233294848,13.782507920681,12.7806049702019,9.49350867418415,8.84873422759373,11.4803999668267,11.5071326125721,12.3005473079897,13.0434696111587,12.6631721513485,10.1329478361525,12.9833635209503,11.8200130615263,9.2327467695103,7.28559203283174,10.8105665452411,12.192359684264,12.4410478487637,11.8676884273498,12.0428356762647,11.0660335184321,10.5905625248765,12.3348366345669,13.8553094423668,13.4384974060777,12.5617480556465,9.81293085846012,12.6784162453505,9.00883345408216,12.0698181529614,14.126419980045,10.1430513732411,12.8456366900764,13.5269917170973,12.1250585267542,13.3230569050103,13.9865486206341,14.0042510254688,13.7684583943617,13.0426065174569,12.4331769808833,13.073276754815,14.5219699674657,13.8822777237704,7.08086640307667,12.5055973490659,13.1167923824183,10.4223117239017,10.5968455250454,9.87355951255711,14.2002761232582,12.3307513142765,14.280888708061,12.5176888617644,13.3106199497666,11.6114524360744,13.6433073068376,12.3209650252093,12.8695626527912,14.1013771786844,10.4731353410812,12.393360213188,13.8239449634264,11.7614868211282,11.3136581487821,13.0093833004475,11.6894126132762,12.3081376119989,12.7985422715274,11.9135696775281,11.3263286107976,10.5364187493803,9.73020895208825,13.4394152489391,9.45101245461471,13.1667479791108,10.3961582105561,12.8023795744362,12.2004590729062,12.8646844771726,8.37462184588609,10.5582087301003,13.2428676272773,12.1972792357342,13.2026509547588,13.9302642829446,13.5824086774491,13.418633876204,13.6028600088625,13.2592395342822,13.7186265094241,13.4374466140207,13.866309853072,13.6136400712813,14.5769808505097,13.9647400386445,13.3063761155569,10.4007173518591,13.3668374805369,13.4967944451132,13.4365342304379,13.1686878723631,12.251077500862,13.7471003146329,9.83007605036398,12.1363776883214,13.3107431015173,12.5458902767398,13.7866123677846,10.7242357280548,13.9889785602975,13.5782184902388,13.6565675485301,13.9762264576845,13.8125188251332,13.2844887969925,12.1831848203411,10.7177166702482,12.6134687106383,6.54899009378388,8.69470875526416
"Q9NUP9",11.8439364071994,11.2700017264011,13.4788039758986,12.4667874708115,8.55499427193845,11.9459379774453,11.3608263283288,14.7468135452965,14.081768698118,11.5141681434594,8.74007228690493,13.7419541075468,8.80494503730489,9.24882779909646,9.26723350291388,9.80165922493938,7.9999668102685,10.7094393475407,11.9607618469319,9.17965511700408,14.8603500340353,11.564414780189,11.5624462969407,10.4782946760718,7.81626866351472,6.87053368075948,10.8454518701957,10.7556581228883,10.818141450346,11.8217015219541,10.0371693213057,8.59394803505492,10.2867432640966,11.1456353520955,11.5974876070368,12.0714388381558,8.47582166816604,10.3019068349999,8.49804972468244,8.98486893849741,11.0284017324828,14.8642014120182,10.8212304558165,8.85744286701072,12.289293953119,13.65394005487,12.2294135150974,14.0010886221629,12.6765568954385,10.9168181405403,13.2995271460075,13.2497785279051,14.621330771177,13.4287269673763,13.3195505878572,9.81742082731527,9.64184004053793,12.1671017737882,9.87888657343001,7.11674941932276,7.39195068633897,13.2511952310529,11.8959181132756,12.9184582914629,11.4408931749927,11.3710463017925,11.9478985171168,12.8264696659853,6.92268920210963,14.2482189006447,15.6013733561242,11.8895401607655,8.45916031871471,14.0741251738204,11.407218042486,13.3193009767303,13.5634427698315,11.7802601226576,13.6218159990895,12.8400030348077,12.8617619091359,11.0401363422526,10.6452143984441,11.0944139567592,11.9830189745148,8.77932031099033,12.6828873499188,8.99322016119121,11.1293194462314,7.13115347201589,11.6120971889414,10.4241141518463,7.39369028965048,14.7955757599257,13.0494133845037,11.3153541295454,13.3527334789171,9.07193695556471,11.4997001819678,12.8727784437704,9.22383673501906,12.0418804703484,14.4499353125688,12.7978067849413,12.0897746624758,9.82305590936893,9.75187980668656,9.88551130518481,10.6150256465231,14.1372634057531,12.0884207857656,13.145654441359,12.0073690427291,11.3916741191383,14.3890180972335,10.2787019537779,14.5074118593681,12.9842415518368,13.7345379819345,13.409891181973,11.8040798635202,10.6339349320661,14.0807318519337,12.693784613747,13.2019870193799,10.9165184491013,11.6808316355227,8.66896549884726,7.12633429008137,10.9232161813196,8.28439717080496,9.25647607933705
